"us"	"gb"	10190
"us"	"ca"	7261
"us"	"de"	5944
"us"	"fr"	4550
"us"	"au"	4069
"gb"	"de"	3623
"us"	"in"	3504
"us"	"nl"	2846
"gb"	"ca"	2815
"us"	"br"	2703
"gb"	"fr"	2612
"gb"	"au"	2532
"us"	"cn"	2411
"fr"	"ca"	2381
"de"	"ca"	2312
"us"	"es"	2272
"fr"	"de"	2258
"us"	"se"	2210
"us"	"jp"	2107
"de"	"au"	1846
"gb"	"es"	1845
"nl"	"gb"	1828
"us"	"ch"	1811
"nl"	"de"	1767
"us"	"pl"	1688
"us"	"ru"	1618
"us"	"ua"	1608
"us"	"it"	1600
"us"	"dk"	1576
"us"	"no"	1567
"ca"	"au"	1544
"us"	"ar"	1536
"gb"	"br"	1523
"fr"	"au"	1512
"us"	"nz"	1512
"us"	"cz"	1506
"us"	"be"	1501
"fr"	"br"	1489
"in"	"gb"	1482
"nl"	"ca"	1477
"de"	"ch"	1472
"se"	"gb"	1458
"se"	"be"	1453
"fr"	"ch"	1435
"ca"	"br"	1402
"es"	"de"	1392
"us"	"at"	1389
"nl"	"fr"	1385
"gb"	"ch"	1357
"us"	"fi"	1352
"se"	"jp"	1323
"fr"	"es"	1321
"jp"	"gb"	1317
"de"	"br"	1304
"se"	"de"	1304
"us"	"ie"	1278
"es"	"ca"	1278
"fr"	"cn"	1255
"gb"	"be"	1241
"gb"	"cn"	1240
"se"	"fr"	1224
"cn"	"ca"	1220
"gb"	"dk"	1213
"pl"	"de"	1210
"pl"	"gb"	1201
"de"	"cn"	1184
"jp"	"be"	1180
"it"	"gb"	1179
"in"	"de"	1178
"fr"	"be"	1165
"nl"	"es"	1153
"de"	"at"	1143
"us"	"mx"	1142
"gb"	"fi"	1133
"no"	"gb"	1125
"nl"	"au"	1121
"in"	"fr"	1109
"in"	"ca"	1104
"ua"	"gb"	1099
"gb"	"cz"	1090
"se"	"au"	1089
"br"	"au"	1088
"ua"	"de"	1082
"jp"	"de"	1077
"se"	"ca"	1071
"de"	"cz"	1067
"ie"	"gb"	1065
"es"	"br"	1063
"pl"	"ca"	1060
"es"	"ch"	1060
"pl"	"fr"	1058
"nl"	"cz"	1042
"nl"	"cn"	1041
"de"	"be"	1036
"ch"	"ca"	1028
"jp"	"fr"	1023
"dk"	"de"	1017
"nl"	"br"	1016
"nl"	"ch"	1016
"no"	"de"	1012
"it"	"de"	1006
"gb"	"at"	998
"nl"	"be"	993
"cn"	"au"	992
"nz"	"gb"	990
"jp"	"ca"	990
"es"	"au"	989
"fi"	"de"	986
"us"	"ro"	986
"cn"	"br"	976
"se"	"nl"	972
"be"	"au"	967
"no"	"fr"	966
"ca"	"be"	950
"jp"	"au"	937
"cz"	"ca"	936
"ie"	"de"	934
"se"	"ru"	931
"dk"	"au"	925
"no"	"ca"	923
"nz"	"au"	921
"fr"	"dk"	917
"nz"	"ca"	913
"se"	"br"	912
"nz"	"de"	911
"se"	"es"	904
"gb"	"ar"	903
"no"	"au"	899
"ua"	"fr"	899
"es"	"cn"	899
"ch"	"br"	898
"ua"	"ca"	896
"fr"	"cz"	894
"in"	"au"	894
"us"	"hu"	894
"cn"	"ch"	892
"ch"	"au"	892
"fr"	"fi"	888
"dk"	"ca"	887
"it"	"fr"	885
"us"	"il"	885
"se"	"dk"	885
"ie"	"ca"	877
"es"	"be"	873
"ua"	"nl"	872
"es"	"cz"	863
"in"	"br"	861
"pl"	"au"	859
"ch"	"be"	858
"fi"	"es"	856
"es"	"dk"	855
"fi"	"au"	854
"se"	"no"	853
"fr"	"at"	842
"cn"	"be"	840
"pl"	"nl"	838
"no"	"nl"	834
"ru"	"jp"	834
"br"	"be"	829
"us"	"tw"	825
"se"	"cn"	825
"pl"	"cn"	825
"se"	"pl"	823
"ua"	"ch"	820
"se"	"ch"	819
"se"	"fi"	817
"nl"	"dk"	813
"fi"	"ca"	811
"cz"	"ch"	810
"dk"	"br"	810
"pl"	"br"	805
"ca"	"at"	805
"pl"	"es"	802
"nl"	"jp"	795
"ua"	"pl"	792
"jp"	"es"	791
"no"	"cn"	791
"ua"	"es"	790
"cz"	"br"	785
"hu"	"gb"	784
"ua"	"cz"	779
"fi"	"ch"	778
"pl"	"ch"	777
"ie"	"fr"	775
"it"	"es"	770
"fi"	"br"	770
"no"	"br"	769
"it"	"ca"	768
"ie"	"es"	766
"fr"	"ar"	764
"ua"	"br"	763
"no"	"ch"	760
"ru"	"be"	760
"ua"	"au"	759
"fi"	"cz"	758
"us"	"ph"	754
"cz"	"au"	753
"ru"	"de"	751
"nl"	"fi"	751
"us"	"co"	750
"ua"	"fi"	750
"fi"	"dk"	749
"ro"	"gb"	749
"dk"	"ch"	748
"no"	"fi"	746
"jp"	"ch"	742
"ru"	"nl"	741
"nz"	"fr"	740
"ua"	"se"	738
"br"	"ar"	737
"es"	"at"	737
"nl"	"in"	737
"cz"	"cn"	736
"se"	"nz"	734
"no"	"be"	733
"nz"	"nl"	732
"ru"	"gb"	732
"no"	"es"	730
"ua"	"ru"	730
"se"	"cz"	728
"pl"	"cz"	721
"jp"	"br"	715
"za"	"us"	713
"fi"	"cn"	710
"jp"	"fi"	709
"pl"	"no"	708
"au"	"ar"	706
"no"	"cz"	704
"in"	"ch"	700
"ua"	"no"	698
"cz"	"be"	697
"dk"	"be"	696
"ua"	"be"	695
"us"	"pt"	691
"no"	"dk"	690
"ua"	"cn"	687
"in"	"es"	687
"ro"	"de"	687
"pl"	"be"	679
"jp"	"dk"	678
"ie"	"au"	676
"dk"	"cn"	674
"jp"	"cn"	674
"it"	"au"	674
"fi"	"be"	674
"dk"	"cz"	673
"es"	"ar"	672
"nz"	"ch"	669
"ua"	"dk"	669
"pl"	"fi"	668
"jp"	"cz"	667
"it"	"at"	663
"in"	"cn"	658
"nl"	"it"	658
"nl"	"ie"	655
"mx"	"br"	653
"nz"	"no"	652
"au"	"at"	650
"pl"	"dk"	649
"nz"	"cn"	649
"nz"	"es"	647
"pl"	"nz"	646
"tw"	"gb"	644
"de"	"ar"	644
"ie"	"cz"	643
"ch"	"at"	643
"it"	"ch"	641
"ie"	"ch"	640
"us"	"gr"	639
"za"	"gb"	637
"nz"	"br"	635
"it"	"fi"	633
"at"	"ar"	633
"in"	"cz"	630
"ro"	"ca"	626
"nz"	"be"	624
"ca"	"ar"	623
"nl"	"at"	621
"il"	"gb"	618
"ua"	"in"	617
"fi"	"at"	617
"ua"	"jp"	617
"nz"	"dk"	614
"mx"	"gb"	613
"mx"	"es"	611
"za"	"fr"	611
"pl"	"ie"	610
"ie"	"br"	608
"it"	"br"	606
"nz"	"cz"	605
"no"	"jp"	603
"us"	"cl"	603
"br"	"at"	601
"se"	"in"	600
"mx"	"fr"	600
"in"	"at"	598
"us"	"th"	596
"ru"	"ca"	595
"za"	"br"	594
"ua"	"nz"	592
"se"	"ie"	591
"tw"	"ca"	591
"tw"	"de"	587
"ro"	"fr"	582
"it"	"cz"	581
"jp"	"in"	579
"ua"	"ie"	579
"in"	"fi"	579
"se"	"it"	578
"ie"	"cn"	576
"se"	"at"	575
"pl"	"in"	574
"mx"	"ca"	574
"nz"	"fi"	573
"ie"	"fi"	571
"ru"	"fr"	570
"hu"	"fr"	569
"hu"	"de"	567
"in"	"be"	567
"il"	"ca"	562
"tw"	"fr"	559
"jp"	"ie"	557
"us"	"si"	557
"nz"	"ie"	555
"pl"	"jp"	555
"no"	"in"	554
"no"	"it"	550
"no"	"ie"	548
"dk"	"at"	547
"il"	"fr"	545
"hu"	"au"	545
"ru"	"cz"	543
"hu"	"br"	542
"gr"	"gb"	542
"ie"	"dk"	541
"tw"	"cn"	540
"hu"	"es"	539
"it"	"in"	535
"ua"	"at"	535
"ru"	"au"	534
"ua"	"it"	533
"it"	"cn"	533
"nl"	"mx"	532
"ie"	"be"	529
"hu"	"ca"	528
"ro"	"au"	528
"il"	"de"	522
"mx"	"cn"	520
"hu"	"dk"	519
"it"	"hu"	518
"ro"	"nl"	517
"cn"	"ar"	517
"tw"	"br"	517
"in"	"ie"	515
"cz"	"at"	514
"ve"	"mx"	514
"mx"	"ch"	512
"it"	"ar"	511
"tw"	"nl"	511
"ve"	"es"	511
"in"	"dk"	507
"dk"	"ar"	506
"se"	"hu"	506
"gr"	"de"	506
"vn"	"us"	504
"ve"	"fr"	503
"mx"	"be"	503
"be"	"at"	502
"za"	"de"	502
"ve"	"br"	502
"se"	"ar"	500
"si"	"gb"	497
"tw"	"es"	497
"hu"	"fi"	494
"nz"	"in"	493
"nl"	"ar"	493
"no"	"at"	492
"in"	"ar"	491
"mx"	"in"	489
"ro"	"br"	489
"ve"	"nl"	488
"it"	"dk"	484
"it"	"be"	484
"jp"	"it"	483
"ve"	"cn"	481
"nz"	"jp"	477
"ve"	"be"	477
"ve"	"ch"	477
"hu"	"ar"	477
"de"	"cl"	475
"fi"	"ar"	474
"ru"	"br"	474
"nl"	"hu"	474
"hu"	"at"	474
"pl"	"ar"	473
"mx"	"au"	469
"it"	"ie"	468
"ro"	"cn"	468
"mx"	"de"	467
"jp"	"at"	466
"si"	"de"	465
"tw"	"au"	464
"tw"	"se"	464
"hu"	"ch"	464
"za"	"nl"	463
"pl"	"at"	461
"cn"	"at"	461
"us"	"sg"	460
"no"	"hu"	458
"tw"	"pl"	457
"us"	"rs"	455
"il"	"au"	452
"cz"	"ar"	452
"pt"	"gb"	451
"si"	"fr"	449
"ve"	"us"	449
"mx"	"ar"	449
"pl"	"it"	447
"gr"	"fr"	447
"ro"	"hu"	447
"ro"	"ch"	446
"se"	"ro"	443
"tw"	"ch"	441
"ru"	"es"	441
"be"	"ar"	441
"vn"	"fr"	441
"nl"	"gr"	439
"hu"	"cn"	438
"tw"	"nz"	437
"tw"	"no"	436
"hu"	"be"	434
"mx"	"fi"	434
"za"	"in"	434
"il"	"br"	432
"ru"	"pl"	431
"gr"	"es"	431
"ro"	"es"	429
"ro"	"pl"	429
"ro"	"in"	429
"th"	"de"	428
"si"	"br"	426
"za"	"au"	426
"ro"	"dk"	425
"th"	"gb"	425
"vn"	"de"	425
"si"	"au"	425
"gr"	"ch"	425
"ch"	"ar"	424
"si"	"cz"	423
"tw"	"in"	422
"tw"	"be"	421
"ua"	"tw"	421
"no"	"ar"	421
"se"	"gr"	421
"mx"	"hu"	421
"si"	"es"	421
"se"	"mx"	421
"ua"	"ar"	420
"ro"	"it"	418
"hu"	"cz"	417
"th"	"fr"	417
"gr"	"cn"	417
"ro"	"at"	415
"gb"	"cl"	415
"mx"	"cz"	415
"in"	"hu"	414
"vn"	"ua"	414
"mx"	"dk"	414
"za"	"ca"	413
"si"	"mx"	412
"si"	"ch"	412
"tw"	"fi"	412
"si"	"se"	411
"us"	"bg"	411
"fr"	"cl"	409
"ua"	"hu"	409
"vn"	"au"	408
"tw"	"cz"	408
"th"	"au"	407
"ro"	"no"	405
"tw"	"dk"	405
"ru"	"cn"	405
"ve"	"ar"	404
"si"	"dk"	403
"za"	"no"	403
"si"	"be"	403
"tw"	"at"	402
"ro"	"cz"	402
"za"	"es"	402
"ve"	"ca"	402
"th"	"no"	402
"se"	"il"	401
"vn"	"cn"	401
"mx"	"it"	401
"si"	"it"	401
"rs"	"de"	401
"za"	"ch"	401
"si"	"ar"	401
"vn"	"gb"	401
"za"	"hu"	401
"za"	"be"	400
"gr"	"au"	400
"si"	"hu"	400
"vn"	"it"	400
"vn"	"be"	400
"gr"	"br"	399
"gr"	"ca"	399
"cl"	"au"	399
"za"	"mx"	399
"ve"	"it"	398
"vn"	"se"	398
"ro"	"be"	398
"nl"	"il"	398
"ve"	"de"	398
