"gi"	6983	7303	95
"jm"	11300	11992	94
"ba"	7264	8156	89
"mt"	1479	1667	88
"am"	3615	4153	87
"si"	15272	17925	85
"rs"	13549	16434	82
"ve"	15386	19236	79
"my"	12033	15943	75
"gr"	15237	20533	74
"hu"	18469	24834	74
"ee"	7817	10685	73
"ss"	113	154	73
"th"	14446	19942	72
"ec"	4189	5962	70
"cz"	27473	39046	70
"cl"	14739	21145	69
"fi"	27242	39655	68
"rw"	266	388	68
"at"	23144	34404	67
"ie"	21833	32368	67
"ro"	17631	26353	66
"za"	16207	24254	66
"be"	29512	45719	64
"no"	27130	42015	64
"dk"	27432	42205	64
"nz"	23737	36611	64
"vn"	14712	23500	62
"il"	12161	20132	60
"pa"	1036	1736	59
"ar"	21339	36617	58
"ch"	30867	52569	58
"cu"	332	581	57
"az"	584	1039	56
"bs"	269	499	53
"ua"	27644	52099	53
"se"	33264	63747	52
"mx"	18170	34547	52
"pl"	28106	54043	52
"tw"	17444	32975	52
"is"	1918	3698	51
"et"	275	538	51
"eh"	1	2	50
"it"	23472	47277	49
"sc"	169	352	48
"es"	34668	71350	48
"nl"	36038	77348	46
"au"	39078	84665	46
"tm"	44	95	46
"ph"	7613	16587	45
"lu"	829	1831	45
"lk"	2242	4963	45
"ky"	25	56	44
"sk"	2178	4864	44
"aq"	160	371	43
"jo"	358	835	42
"bm"	51	123	41
"tj"	60	144	41
"ls"	13	33	39
"by"	4499	11302	39
"pt"	5841	14724	39
"bw"	36	95	37
"kh"	427	1144	37
"ca"	47229	130817	36
"fr"	45786	125020	36
"cf"	12	33	36
"ae"	855	2343	36
"qa"	82	234	35
"bg"	3345	9773	34
"bj"	250	726	34
"np"	1193	3469	34
"pe"	2190	6617	33
"lt"	1267	3781	33
"jp"	27654	84678	32
"br"	34619	105437	32
"de"	50234	155239	32
"uy"	1148	3526	32
"ht"	26	84	30
"gb"	60231	196973	30
"ao"	38	129	29
"ng"	646	2180	29
"dz"	268	899	29
"la"	83	294	28
"in"	28525	98753	28
"sh"	2	7	28
"na"	10	35	28
"co"	4116	14628	28
"lr"	71	260	27
"sv"	321	1165	27
"ps"	87	319	27
"tl"	3	11	27
"kz"	289	1074	26
"vu"	17	63	26
"eg"	1051	4028	26
"zm"	22	84	26
"bz"	6	24	25
"ru"	16868	65969	25
"sb"	2	8	25
"ad"	11	43	25
"mk"	202	778	25
"ms"	2	8	25
"ly"	32	133	24
"tt"	49	199	24
"hr"	889	3768	23
"me"	54	228	23
"fo"	15	65	23
"nr"	2	9	22
"sg"	2857	12813	22
"gl"	10	45	22
"zw"	26	119	21
"md"	273	1246	21
"sn"	99	452	21
"cn"	31185	149035	20
"fj"	4	20	20
"py"	130	647	20
"gt"	234	1200	19
"va"	52	265	19
"lv"	505	2568	19
"al"	60	303	19
"tn"	240	1228	19
"bf"	19	96	19
"sa"	110	585	18
"cy"	114	605	18
"om"	20	106	18
"mv"	23	131	17
"mr"	7	39	17
"tg"	3	17	17
"ni"	102	580	17
"so"	15	87	17
"lb"	98	559	17
"cr"	515	2933	17
"do"	211	1256	16
"ke"	379	2361	16
"mw"	11	67	16
"mz"	26	169	15
"tr"	1641	11203	14
"ug"	129	921	14
"mg"	27	187	14
"sy"	29	219	13
"kw"	21	158	13
"mm"	65	490	13
"im"	19	141	13
"iq"	13	107	12
"bt"	3	25	12
"to"	5	41	12
"je"	10	82	12
"ne"	2	16	12
"kp"	10	85	11
"pk"	367	3194	11
"us"	91040	808874	11
"id"	1700	15108	11
"kr"	1165	10720	10
"bo"	108	1153	9
"cm"	17	178	9
"ml"	4	41	9
"dj"	1	11	9
"cv"	2	21	9
"gh"	66	742	8
"tz"	27	302	8
"sl"	4	47	8
"lc"	2	23	8
"cd"	6	83	7
"mh"	1	13	7
"bd"	327	4270	7
"hn"	56	766	7
"sz"	13	208	6
"bh"	4	58	6
"ir"	187	2974	6
"ga"	4	59	6
"gy"	1	15	6
"li"	2	32	6
"af"	6	100	6
"ma"	81	1197	6
"kg"	19	310	6
"ge"	27	501	5
"uz"	13	224	5
"mu"	7	121	5
"mn"	11	209	5
"mc"	1	22	4
"ci"	2	53	3
"sd"	2	51	3
